cama	4 2 14 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
árbol	100 66 19 3 16 13 0 0 0 0 0 0 0 0 0 0 0 0
lápiz	13 100 66 17 10 27 0 0 0 0 0 0 0 0 0 0 0 0
casa	4 2 20 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
silbar	20 10 13 3 2 19 0 0 0 0 0 0 0 0 0 0 0 0
tijeras	21 10 11 6 19 2 20 0 0 0 0 0 0 0 0 0 0 0
peine	17 6 10 15 6 0 0 0 0 0 0 0 0 0 0 0 0 0
flor	7 13 16 19 0 0 0 0 0 0 0 0 0 0 0 0 0 0
serrucho	20 6 19 19 22 4 9 16 0 0 0 0 0 0 0 0 0 0
cepillo_de_dientes	4 6 17 10 13 13 16 0 5 6 0 5 10 6 15 21 6 20
helicóptero	9 6 13 10 4 100 84 17 21 6 19 16 0 0 0 0 0 0
escoba	6 20 4 16 3 2 0 0 0 0 0 0 0 0 0 0 0 0
pulpo	17 22 13 17 16 0 0 0 0 0 0 0 0 0 0 0 0 0
seta	20 6 21 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
percha	17 6 19 4 9 2 0 0 0 0 0 0 0 0 0 0 0 0
silla_de_ruedas	20 10 13 13 2 0 5 6 0 19 22 6 5 2 20 0 0 0
camello	4 2 14 6 13 13 16 0 0 0 0 0 0 0 0 0 0 0
máscara	14 100 66 20 4 2 19 2 0 0 0 0 0 0 0 0 0 0
pretzel	17 19 6 21 27 6 13 0 0 0 0 0 0 0 0 0 0 0
banco	3 2 15 4 16 0 0 0 0 0 0 0 0 0 0 0 0 0
raqueta	19 2 18 22 6 21 2 0 0 0 0 0 0 0 0 0 0 0
caracol	4 2 19 2 4 16 13 0 0 0 0 0 0 0 0 0 0 0
volcán	23 16 13 4 100 66 15 0 0 0 0 0 0 0 0 0 0 0
caballo_de_mar	4 2 3 2 13 13 16 0 5 6 0 14 2 19 0 0 0 0
dardo	5 2 19 5 16 0 0 0 0 0 0 0 0 0 0 0 0 0
canoa	4 2 15 16 2 0 0 0 0 0 0 0 0 0 0 0 0 0
globo	8 13 16 3 16 0 0 0 0 0 0 0 0 0 0 0 0 0
guirnalda	8 22 10 19 15 2 13 5 2 0 0 0 0 0 0 0 0 0
castor	4 2 20 21 16 19 0 0 0 0 0 0 0 0 0 0 0 0
harmónica	9 2 19 14 100 84 15 10 4 2 0 0 0 0 0 0 0 0
rinoceronte	19 10 15 16 4 6 19 16 15 21 6 0 0 0 0 0 0 0
bellota	3 6 13 13 16 21 2 0 0 0 0 0 0 0 0 0 0 0
iglú	10 8 13 100 91 0 0 0 0 0 0 0 0 0 0 0 0 0
zancos	27 2 15 4 16 20 0 0 0 0 0 0 0 0 0 0 0 0
dominó	5 16 14 10 15 100 84 0 0 0 0 0 0 0 0 0 0 0
cactus	4 2 4 21 22 20 0 0 0 0 0 0 0 0 0 0 0 0
escalera_mecánica	6 20 4 2 13 6 19 2 0 14 6 4 100 66 15 10 4 2
arpa	2 19 17 2 0 0 0 0 0 0 0 0 0 0 0 0 0 0
hamaca	9 2 14 2 4 2 0 0 0 0 0 0 0 0 0 0 0 0
aldaba	2 13 5 2 3 2 0 0 0 0 0 0 0 0 0 0 0 0
pelícano	17 6 13 100 78 4 2 15 16 0 0 0 0 0 0 0 0 0
estetoscopio	6 20 21 6 21 16 20 4 16 17 10 16 0 0 0 0 0 0
pirámide	17 10 19 100 66 14 10 5 6 0 0 0 0 0 0 0 0 0
bozal	3 16 27 2 13 0 0 0 0 0 0 0 0 0 0 0 0 0
unicornio	22 15 10 4 16 19 15 10 16 0 0 0 0 0 0 0 0 0
embudo	6 14 3 22 5 16 0 0 0 0 0 0 0 0 0 0 0 0
acordeón	2 4 16 19 5 6 100 84 15 0 0 0 0 0 0 0 0 0
lazo	13 2 27 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0
espárragos	6 20 17 100 66 19 19 2 8 16 20 0 0 0 0 0 0 0
brújula	3 19 100 91 11 22 13 2 0 0 0 0 0 0 0 0 0 0
pestillo	17 6 20 21 10 13 13 16 0 0 0 0 0 0 0 0 0 0
trípode	21 19 100 78 17 16 5 6 0 0 0 0 0 0 0 0 0 0
voluta	23 16 13 22 21 2 0 0 0 0 0 0 0 0 0 0 0 0
tenazas	21 6 15 2 27 2 20 0 0 0 0 0 0 0 0 0 0 0
esfinge	6 20 7 10 15 8 6 0 0 0 0 0 0 0 0 0 0 0
yugo	26 22 8 16 0 0 0 0 0 0 0 0 0 0 0 0 0 0
enrejado	6 15 19 6 11 2 5 16 0 0 0 0 0 0 0 0 0 0
paleta	17 2 13 6 21 2 0 0 0 0 0 0 0 0 0 0 0 0
transportador	21 19 2 15 20 17 16 19 21 2 5 16 19 0 0 0 0 0
ábaco	100 66 3 2 4 16 0 0 0 0 0 0 0 0 0 0 0 0
