bed	3 6 5 0 0 0 0 0 0 0 0
tree	21 19 6 6 0 0 0 0 0 0 0
pencil	17 6 15 4 10 13 0 0 0 0 0
house	9 16 22 20 6 0 0 0 0 0 0
whistle	24 9 10 20 21 13 6 0 0 0 0
scissors	20 4 10 20 20 16 19 20 0 0 0
comb	4 16 14 3 0 0 0 0 0 0 0
flower	7 13 16 24 6 19 0 0 0 0 0
saw	20 2 24 0 0 0 0 0 0 0 0
toothbrush	21 16 16 21 9 3 19 22 20 9 0
helicopter	9 6 13 10 4 16 17 21 6 19 0
broom	3 19 16 16 14 0 0 0 0 0 0
octopus	16 4 21 16 17 22 20 0 0 0 0
mushroom	14 22 20 9 19 16 16 14 0 0 0
hanger	9 2 15 8 6 19 0 0 0 0 0
wheelchair	24 9 6 6 13 4 9 2 10 19 0
camel	4 2 14 6 13 0 0 0 0 0 0
mask	14 2 20 12 0 0 0 0 0 0 0
pretzel	17 19 6 21 27 6 13 0 0 0 0
bench	3 6 15 4 9 0 0 0 0 0 0
racquet	19 2 4 18 22 6 21 0 0 0 0
snail	20 15 2 10 13 0 0 0 0 0 0
volcano	23 16 13 4 2 15 16 0 0 0 0
seahorse	20 6 2 9 16 19 20 6 0 0 0
dart	5 2 19 21 0 0 0 0 0 0 0
canoe	4 2 15 16 6 0 0 0 0 0 0
globe	8 13 16 3 6 0 0 0 0 0 0
wreath	24 19 6 2 21 9 0 0 0 0 0
beaver	3 6 2 23 6 19 0 0 0 0 0
harmonica	9 2 19 14 16 15 10 4 2 0 0
rhinoceros	19 9 10 15 16 4 6 19 16 20 0
acorn	2 4 16 19 15 0 0 0 0 0 0
igloo	10 8 13 16 16 0 0 0 0 0 0
stilts	20 21 10 13 21 20 0 0 0 0 0
dominoes	5 16 14 10 15 16 6 20 0 0 0
cactus	4 2 4 21 22 20 0 0 0 0 0
escalator	6 20 4 2 13 2 21 16 19 0 0
harp	9 2 19 17 0 0 0 0 0 0 0
hammock	9 2 14 14 16 4 12 0 0 0 0
knocker	12 15 16 4 12 6 19 0 0 0 0
pelican	17 6 13 10 4 2 15 0 0 0 0
stethoscope	20 21 6 21 9 16 20 4 16 17 6
pyramid	17 26 19 2 14 10 5 0 0 0 0
muzzle	14 22 27 27 13 6 0 0 0 0 0
unicorn	22 15 10 4 16 19 15 0 0 0 0
funnel	7 22 15 15 6 13 0 0 0 0 0
accordion	2 4 4 16 19 5 10 16 15 0 0
noose	15 16 16 20 6 0 0 0 0 0 0
asparagus	2 20 17 2 19 2 8 22 20 0 0
compass	4 16 14 17 2 20 20 0 0 0 0
latch	13 2 21 4 9 0 0 0 0 0 0
tripod	21 19 10 17 16 5 0 0 0 0 0
scroll	20 4 19 16 13 13 0 0 0 0 0
tongs	21 16 15 8 20 0 0 0 0 0 0
sphinx	20 17 9 10 15 25 0 0 0 0 0
yoke	26 16 12 6 0 0 0 0 0 0 0
trellis	21 19 6 13 13 10 20 0 0 0 0
palette	17 2 13 6 21 21 6 0 0 0 0
protractor	17 19 16 21 19 2 4 21 16 19 0
abacus	2 3 2 4 22 20 0 0 0 0 0
